junction,hour,day_of_week,weather,vehicles,congestion_score,high_congestion
Surajpole,11,Wed,Cloudy,120,1.7,0
Sector 4,2,Fri,Cloudy,242,3.5,0
Delhi Gate,12,Mon,Cloudy,176,2.6,0
Surajpole,17,Tue,Rainy,515,7.5,1
Surajpole,7,Sun,Cloudy,50,0.7,0
Surajpole,20,Tue,Rainy,265,3.9,0
Chetak Circle,14,Fri,Foggy,181,2.6,0
Hathi Pol,0,Mon,Clear,53,0.8,0
Chetak Circle,2,Thu,Clear,174,2.5,0
Chetak Circle,7,Wed,Rainy,131,1.9,0
Delhi Gate,3,Mon,Foggy,76,1.1,0
Bapu Bazaar,15,Sun,Rainy,220,3.2,0
Hathi Pol,22,Tue,Foggy,108,1.6,0
Sector 4,9,Sun,Cloudy,456,6.6,0
Fatehsagar,11,Sun,Foggy,210,3.1,0
Surajpole,13,Fri,Foggy,77,1.1,0
Sector 4,13,Fri,Foggy,155,2.3,0
Surajpole,1,Wed,Clear,154,2.2,0
Delhi Gate,22,Fri,Foggy,232,3.4,0
Surajpole,4,Fri,Cloudy,277,4.0,0
Chetak Circle,4,Mon,Cloudy,237,3.4,0
Hathi Pol,5,Thu,Cloudy,119,1.7,0
Fatehsagar,12,Wed,Foggy,111,1.6,0
Udiapole,8,Mon,Rainy,459,6.7,0
Surajpole,21,Thu,Rainy,83,1.2,0
Sector 4,14,Sun,Cloudy,136,2.0,0
Chetak Circle,13,Mon,Clear,163,2.4,0
Udiapole,23,Sat,Rainy,155,2.3,0
Fatehsagar,6,Mon,Foggy,265,3.9,0
Udiapole,19,Fri,Rainy,397,5.8,0
Chetak Circle,1,Thu,Cloudy,162,2.4,0
Hathi Pol,6,Wed,Clear,62,0.9,0
Hathi Pol,5,Wed,Rainy,233,3.4,0
Bapu Bazaar,16,Thu,Rainy,67,1.0,0
Hathi Pol,1,Fri,Cloudy,231,3.4,0
Bapu Bazaar,2,Tue,Clear,254,3.7,0
Udiapole,4,Mon,Clear,162,2.4,0
Delhi Gate,4,Fri,Cloudy,278,4.0,0
Sector 4,0,Sat,Foggy,220,3.2,0
Sector 4,7,Sun,Rainy,88,1.3,0
Udiapole,11,Thu,Foggy,238,3.5,0
Surajpole,23,Mon,Rainy,219,3.2,0
Surajpole,3,Wed,Rainy,258,3.8,0
Hathi Pol,12,Sun,Foggy,128,1.9,0
Sector 4,22,Tue,Cloudy,195,2.8,0
Sector 4,14,Sat,Cloudy,200,2.9,0
Bapu Bazaar,10,Wed,Rainy,604,8.8,1
Delhi Gate,9,Thu,Cloudy,595,8.7,1
Chetak Circle,2,Mon,Rainy,79,1.1,0
Surajpole,21,Thu,Cloudy,299,4.4,0
Sector 4,13,Sun,Rainy,147,2.1,0
Bapu Bazaar,15,Mon,Cloudy,107,1.6,0
Fatehsagar,9,Fri,Clear,442,6.4,0
Bapu Bazaar,9,Tue,Foggy,360,5.2,0
Surajpole,11,Fri,Clear,120,1.7,0
Surajpole,8,Fri,Foggy,593,8.6,1
Bapu Bazaar,0,Thu,Foggy,195,2.8,0
Chetak Circle,4,Sun,Rainy,155,2.3,0
Udiapole,19,Tue,Foggy,342,5.0,0
Surajpole,7,Mon,Clear,89,1.3,0
Bapu Bazaar,10,Mon,Clear,332,4.8,0
Sector 4,11,Sat,Cloudy,263,3.8,0
Bapu Bazaar,0,Wed,Clear,299,4.4,0
Delhi Gate,21,Sat,Cloudy,242,3.5,0
Udiapole,19,Sat,Foggy,359,5.2,0
Fatehsagar,10,Mon,Clear,618,9.0,1
Chetak Circle,4,Thu,Foggy,98,1.4,0
Hathi Pol,14,Fri,Clear,101,1.5,0
Fatehsagar,4,Sun,Clear,163,2.4,0
Udiapole,11,Fri,Cloudy,156,2.3,0
Udiapole,4,Fri,Foggy,78,1.1,0
Udiapole,16,Tue,Clear,198,2.9,0
Fatehsagar,16,Mon,Rainy,267,3.9,0
Sector 4,23,Sun,Foggy,127,1.8,0
Udiapole,11,Thu,Foggy,58,0.8,0
Bapu Bazaar,23,Tue,Foggy,224,3.3,0
Fatehsagar,14,Wed,Cloudy,125,1.8,0
Hathi Pol,14,Thu,Rainy,91,1.3,0
Udiapole,5,Sat,Foggy,228,3.3,0
Bapu Bazaar,11,Thu,Clear,233,3.4,0
Sector 4,19,Thu,Clear,502,7.3,1
Delhi Gate,17,Fri,Cloudy,646,9.4,1
Sector 4,13,Thu,Clear,177,2.6,0
Hathi Pol,1,Sat,Foggy,69,1.0,0
Udiapole,8,Sat,Clear,593,8.6,1
Hathi Pol,4,Mon,Foggy,204,3.0,0
Fatehsagar,19,Thu,Clear,403,5.9,0
Surajpole,0,Fri,Rainy,121,1.8,0
Udiapole,22,Thu,Cloudy,114,1.7,0
Surajpole,2,Wed,Cloudy,231,3.4,0
Bapu Bazaar,5,Wed,Rainy,290,4.2,0
Delhi Gate,4,Fri,Rainy,162,2.4,0
Chetak Circle,20,Mon,Cloudy,73,1.1,0
Hathi Pol,4,Mon,Rainy,177,2.6,0
Sector 4,0,Sat,Foggy,224,3.3,0
Delhi Gate,16,Sat,Clear,248,3.6,0
Udiapole,18,Tue,Cloudy,285,4.1,0
Surajpole,13,Fri,Rainy,263,3.8,0
Sector 4,11,Thu,Foggy,112,1.6,0
Surajpole,9,Sun,Cloudy,509,7.4,1
Fatehsagar,19,Fri,Rainy,384,5.6,0
Surajpole,20,Tue,Cloudy,109,1.6,0
Fatehsagar,17,Sat,Rainy,545,7.9,1
Bapu Bazaar,23,Fri,Cloudy,111,1.6,0
Sector 4,10,Fri,Foggy,292,4.3,0
Sector 4,1,Sat,Foggy,270,3.9,0
Chetak Circle,17,Tue,Clear,249,3.6,0
Udiapole,6,Sat,Cloudy,252,3.7,0
Fatehsagar,23,Mon,Clear,261,3.8,0
Chetak Circle,14,Thu,Cloudy,175,2.5,0
Surajpole,10,Sat,Rainy,471,6.9,0
Surajpole,17,Tue,Rainy,452,6.6,0
Chetak Circle,22,Wed,Clear,218,3.2,0
Sector 4,11,Mon,Cloudy,91,1.3,0
Surajpole,5,Wed,Clear,147,2.1,0
Hathi Pol,19,Sun,Foggy,488,7.1,1
Bapu Bazaar,22,Sat,Clear,80,1.2,0
Bapu Bazaar,12,Mon,Clear,207,3.0,0
Hathi Pol,19,Thu,Rainy,412,6.0,0
Chetak Circle,15,Sat,Clear,195,2.8,0
Hathi Pol,17,Thu,Cloudy,631,9.2,1
Fatehsagar,9,Fri,Rainy,523,7.6,1
Fatehsagar,22,Wed,Clear,66,1.0,0
Chetak Circle,7,Mon,Foggy,87,1.3,0
Hathi Pol,17,Thu,Clear,495,7.2,1
Fatehsagar,20,Tue,Clear,264,3.8,0
Sector 4,0,Thu,Clear,266,3.9,0
Hathi Pol,22,Tue,Rainy,256,3.7,0
Sector 4,7,Sat,Cloudy,159,2.3,0
Fatehsagar,5,Mon,Foggy,233,3.4,0
Bapu Bazaar,4,Thu,Clear,71,1.0,0
Fatehsagar,14,Sun,Cloudy,244,3.6,0
Sector 4,21,Thu,Cloudy,105,1.5,0
Delhi Gate,14,Sun,Rainy,168,2.4,0
Udiapole,1,Mon,Foggy,196,2.9,0
Surajpole,0,Thu,Rainy,106,1.5,0
Hathi Pol,22,Tue,Cloudy,221,3.2,0
Delhi Gate,22,Thu,Cloudy,275,4.0,0
Fatehsagar,10,Wed,Cloudy,458,6.7,0
Bapu Bazaar,9,Sat,Rainy,333,4.8,0
Chetak Circle,17,Fri,Foggy,362,5.3,0
Fatehsagar,17,Tue,Clear,550,8.0,1
Bapu Bazaar,16,Wed,Rainy,101,1.5,0
Udiapole,7,Sun,Cloudy,134,2.0,0
Fatehsagar,14,Sat,Rainy,270,3.9,0
Sector 4,7,Mon,Cloudy,247,3.6,0
Chetak Circle,16,Tue,Clear,214,3.1,0
Bapu Bazaar,11,Fri,Clear,114,1.7,0
Bapu Bazaar,7,Sat,Foggy,228,3.3,0
Bapu Bazaar,13,Sun,Cloudy,178,2.6,0
Udiapole,3,Fri,Foggy,268,3.9,0
Fatehsagar,0,Mon,Foggy,70,1.0,0
Udiapole,0,Mon,Clear,230,3.3,0
Hathi Pol,18,Sun,Rainy,316,4.6,0
Surajpole,15,Tue,Rainy,285,4.1,0
Surajpole,13,Sun,Foggy,172,2.5,0
Hathi Pol,20,Thu,Clear,110,1.6,0
Fatehsagar,15,Mon,Cloudy,103,1.5,0
Sector 4,4,Sat,Rainy,217,3.2,0
Udiapole,8,Thu,Foggy,270,3.9,0
Chetak Circle,1,Wed,Rainy,129,1.9,0
Bapu Bazaar,17,Fri,Rainy,484,7.0,0
Bapu Bazaar,5,Thu,Cloudy,114,1.7,0
Fatehsagar,8,Fri,Clear,389,5.7,0
Sector 4,0,Sun,Cloudy,123,1.8,0
Surajpole,8,Thu,Clear,554,8.1,1
Surajpole,15,Sun,Rainy,220,3.2,0
Bapu Bazaar,12,Wed,Foggy,66,1.0,0
Fatehsagar,8,Mon,Cloudy,522,7.6,1
Udiapole,20,Wed,Clear,236,3.4,0
Surajpole,12,Mon,Rainy,72,1.0,0
Udiapole,8,Sun,Clear,444,6.5,0
Sector 4,10,Mon,Clear,452,6.6,0
Surajpole,3,Fri,Clear,230,3.3,0
Surajpole,1,Sat,Rainy,120,1.7,0
Delhi Gate,5,Wed,Foggy,157,2.3,0
Surajpole,13,Thu,Foggy,128,1.9,0
Hathi Pol,3,Wed,Foggy,211,3.1,0
Chetak Circle,5,Fri,Clear,95,1.4,0
Hathi Pol,18,Mon,Rainy,558,8.1,1
Fatehsagar,5,Fri,Clear,245,3.6,0
Fatehsagar,1,Tue,Foggy,255,3.7,0
Udiapole,17,Tue,Foggy,469,6.8,0
Hathi Pol,12,Thu,Rainy,65,0.9,0
Hathi Pol,8,Fri,Clear,460,6.7,0
Hathi Pol,22,Sun,Cloudy,145,2.1,0
Sector 4,18,Thu,Cloudy,444,6.5,0
Surajpole,12,Sun,Foggy,51,0.7,0
Chetak Circle,10,Thu,Rainy,243,3.5,0
Udiapole,0,Tue,Clear,227,3.3,0
Hathi Pol,23,Thu,Clear,174,2.5,0
Hathi Pol,21,Tue,Foggy,130,1.9,0
Delhi Gate,6,Mon,Foggy,278,4.0,0
Udiapole,20,Sun,Clear,189,2.8,0
Hathi Pol,14,Fri,Clear,119,1.7,0
Udiapole,0,Thu,Foggy,199,2.9,0
Surajpole,11,Tue,Clear,81,1.2,0
Delhi Gate,6,Wed,Cloudy,154,2.2,0
Udiapole,14,Sun,Foggy,133,1.9,0
Chetak Circle,20,Thu,Clear,178,2.6,0
Chetak Circle,18,Sat,Foggy,539,7.8,1
Fatehsagar,0,Mon,Rainy,288,4.2,0
Delhi Gate,16,Mon,Foggy,294,4.3,0
Delhi Gate,16,Wed,Foggy,107,1.6,0
Fatehsagar,2,Tue,Rainy,247,3.6,0
Udiapole,11,Thu,Cloudy,260,3.8,0
Delhi Gate,5,Sun,Clear,195,2.8,0
Chetak Circle,10,Tue,Rainy,488,7.1,1
Chetak Circle,2,Mon,Foggy,94,1.4,0
Hathi Pol,7,Tue,Clear,146,2.1,0
Surajpole,13,Mon,Rainy,72,1.0,0
Delhi Gate,13,Tue,Clear,72,1.0,0
Udiapole,9,Wed,Clear,455,6.6,0
Fatehsagar,1,Fri,Rainy,254,3.7,0
Fatehsagar,13,Wed,Clear,184,2.7,0
Udiapole,8,Wed,Cloudy,406,5.9,0
Sector 4,2,Fri,Rainy,93,1.4,0
Bapu Bazaar,20,Fri,Cloudy,76,1.1,0
Surajpole,7,Thu,Foggy,75,1.1,0
Fatehsagar,15,Sun,Clear,146,2.1,0
Delhi Gate,1,Sun,Foggy,256,3.7,0
Surajpole,5,Thu,Foggy,85,1.2,0
Delhi Gate,20,Wed,Clear,158,2.3,0
Sector 4,11,Wed,Rainy,104,1.5,0
Chetak Circle,4,Mon,Clear,241,3.5,0
Surajpole,1,Mon,Foggy,268,3.9,0
Hathi Pol,15,Sun,Foggy,234,3.4,0
Fatehsagar,4,Thu,Rainy,118,1.7,0
Surajpole,14,Sat,Clear,110,1.6,0
Surajpole,11,Sat,Foggy,179,2.6,0
Surajpole,3,Thu,Cloudy,104,1.5,0
Bapu Bazaar,14,Mon,Foggy,171,2.5,0
Surajpole,10,Sun,Foggy,320,4.7,0
Delhi Gate,15,Sun,Rainy,129,1.9,0
Chetak Circle,22,Mon,Cloudy,136,2.0,0
Sector 4,5,Sat,Foggy,87,1.3,0
Udiapole,13,Tue,Foggy,168,2.4,0
Surajpole,17,Tue,Cloudy,449,6.5,0
Fatehsagar,11,Mon,Clear,127,1.8,0
Surajpole,10,Tue,Clear,585,8.5,1
Fatehsagar,12,Fri,Foggy,203,3.0,0
Delhi Gate,20,Thu,Foggy,84,1.2,0
Fatehsagar,22,Thu,Clear,128,1.9,0
Hathi Pol,10,Mon,Rainy,349,5.1,0
Udiapole,22,Wed,Cloudy,136,2.0,0
Chetak Circle,15,Sat,Cloudy,206,3.0,0
Fatehsagar,14,Mon,Rainy,83,1.2,0
Fatehsagar,20,Tue,Rainy,146,2.1,0
Chetak Circle,14,Sat,Rainy,218,3.2,0
Udiapole,3,Wed,Rainy,218,3.2,0
Surajpole,10,Tue,Rainy,544,7.9,1
Fatehsagar,18,Sun,Rainy,460,6.7,0
Chetak Circle,14,Fri,Cloudy,52,0.8,0
Hathi Pol,3,Tue,Rainy,107,1.6,0
Hathi Pol,20,Fri,Clear,81,1.2,0
Delhi Gate,12,Sat,Rainy,80,1.2,0
Chetak Circle,21,Fri,Rainy,131,1.9,0
Delhi Gate,18,Sat,Cloudy,292,4.3,0
Hathi Pol,1,Sat,Cloudy,184,2.7,0
Udiapole,13,Sat,Rainy,154,2.2,0
Surajpole,3,Sat,Cloudy,50,0.7,0
Chetak Circle,15,Sat,Foggy,110,1.6,0
Sector 4,20,Tue,Cloudy,63,0.9,0
Hathi Pol,19,Sat,Cloudy,508,7.4,1
Hathi Pol,13,Tue,Cloudy,273,4.0,0
Sector 4,14,Sat,Cloudy,55,0.8,0
Bapu Bazaar,2,Fri,Clear,152,2.2,0
Hathi Pol,7,Sun,Clear,59,0.9,0
Fatehsagar,15,Sat,Clear,120,1.7,0
Udiapole,9,Wed,Rainy,498,7.2,1
Chetak Circle,3,Sat,Rainy,275,4.0,0
Sector 4,17,Sat,Foggy,482,7.0,0
Fatehsagar,1,Fri,Clear,277,4.0,0
Sector 4,16,Thu,Rainy,198,2.9,0
Chetak Circle,12,Fri,Cloudy,175,2.5,0
Delhi Gate,3,Wed,Cloudy,237,3.4,0
Chetak Circle,10,Thu,Clear,643,9.4,1
Bapu Bazaar,6,Mon,Foggy,146,2.1,0
Chetak Circle,11,Mon,Foggy,123,1.8,0
Chetak Circle,9,Wed,Cloudy,505,7.4,1
Bapu Bazaar,6,Fri,Foggy,240,3.5,0
Udiapole,12,Tue,Clear,288,4.2,0
Hathi Pol,6,Wed,Cloudy,219,3.2,0
Chetak Circle,23,Sun,Rainy,100,1.5,0
Bapu Bazaar,16,Thu,Rainy,241,3.5,0
Fatehsagar,9,Thu,Foggy,604,8.8,1
Delhi Gate,9,Sat,Cloudy,323,4.7,0
Delhi Gate,23,Mon,Cloudy,257,3.7,0
Chetak Circle,3,Thu,Rainy,90,1.3,0
Udiapole,19,Wed,Cloudy,239,3.5,0
Udiapole,3,Thu,Cloudy,64,0.9,0
Fatehsagar,21,Wed,Cloudy,111,1.6,0
Chetak Circle,6,Tue,Foggy,204,3.0,0
Delhi Gate,21,Sat,Cloudy,77,1.1,0
Udiapole,0,Mon,Clear,258,3.8,0
Chetak Circle,11,Thu,Foggy,113,1.6,0
Sector 4,23,Wed,Cloudy,287,4.2,0
Udiapole,12,Fri,Cloudy,236,3.4,0
Bapu Bazaar,9,Mon,Clear,442,6.4,0
Sector 4,14,Tue,Foggy,235,3.4,0
Hathi Pol,12,Wed,Rainy,179,2.6,0
Udiapole,22,Sun,Rainy,176,2.6,0
Delhi Gate,21,Sun,Foggy,85,1.2,0
Surajpole,21,Sat,Cloudy,163,2.4,0
Sector 4,20,Sat,Cloudy,248,3.6,0
Hathi Pol,21,Tue,Rainy,62,0.9,0
Fatehsagar,8,Tue,Rainy,375,5.5,0
Fatehsagar,8,Sat,Rainy,475,6.9,0
Delhi Gate,14,Thu,Clear,264,3.8,0
Udiapole,9,Thu,Rainy,616,9.0,1
Chetak Circle,23,Wed,Clear,71,1.0,0
Udiapole,9,Fri,Foggy,578,8.4,1
Delhi Gate,7,Wed,Cloudy,267,3.9,0
Fatehsagar,23,Fri,Rainy,274,4.0,0
Udiapole,15,Tue,Cloudy,252,3.7,0
Fatehsagar,16,Mon,Cloudy,123,1.8,0
Sector 4,4,Wed,Rainy,74,1.1,0
Hathi Pol,3,Wed,Rainy,150,2.2,0
Chetak Circle,17,Fri,Foggy,533,7.8,1
Sector 4,23,Tue,Clear,220,3.2,0
Fatehsagar,18,Tue,Clear,325,4.7,0
Fatehsagar,3,Sun,Cloudy,215,3.1,0
Surajpole,6,Fri,Rainy,90,1.3,0
Surajpole,9,Tue,Foggy,485,7.1,1
Sector 4,17,Sat,Foggy,362,5.3,0
Bapu Bazaar,18,Thu,Foggy,530,7.7,1
Sector 4,3,Sun,Foggy,159,2.3,0
Surajpole,9,Sat,Foggy,564,8.2,1
Fatehsagar,0,Mon,Clear,146,2.1,0
Delhi Gate,22,Wed,Clear,194,2.8,0
Sector 4,17,Sun,Clear,499,7.3,1
Fatehsagar,4,Mon,Rainy,278,4.0,0
Delhi Gate,14,Wed,Cloudy,106,1.5,0
Delhi Gate,16,Thu,Foggy,179,2.6,0
Surajpole,2,Tue,Rainy,145,2.1,0
Sector 4,11,Sat,Foggy,170,2.5,0
Udiapole,1,Fri,Clear,111,1.6,0
Chetak Circle,0,Sat,Rainy,265,3.9,0
Surajpole,22,Thu,Clear,186,2.7,0
Surajpole,20,Mon,Foggy,117,1.7,0
Udiapole,16,Fri,Foggy,130,1.9,0
Chetak Circle,21,Tue,Cloudy,66,1.0,0
Fatehsagar,15,Thu,Foggy,166,2.4,0
Bapu Bazaar,4,Fri,Clear,99,1.4,0
Sector 4,14,Thu,Foggy,161,2.3,0
Bapu Bazaar,2,Thu,Cloudy,143,2.1,0
Fatehsagar,6,Tue,Cloudy,217,3.2,0
Hathi Pol,10,Sun,Clear,433,6.3,0
Surajpole,9,Wed,Rainy,640,9.3,1
Chetak Circle,8,Fri,Foggy,353,5.1,0
Surajpole,13,Tue,Cloudy,198,2.9,0
Delhi Gate,12,Thu,Foggy,195,2.8,0
Surajpole,1,Tue,Foggy,232,3.4,0
Surajpole,2,Sun,Rainy,206,3.0,0
Fatehsagar,6,Wed,Cloudy,201,2.9,0
Fatehsagar,20,Sat,Foggy,123,1.8,0
Fatehsagar,17,Fri,Cloudy,547,8.0,1
Bapu Bazaar,2,Wed,Clear,194,2.8,0
Delhi Gate,9,Mon,Clear,393,5.7,0
Hathi Pol,21,Fri,Foggy,91,1.3,0
Hathi Pol,6,Wed,Cloudy,289,4.2,0
Fatehsagar,8,Thu,Foggy,541,7.9,1
Chetak Circle,16,Fri,Cloudy,150,2.2,0
Bapu Bazaar,10,Fri,Cloudy,445,6.5,0
Udiapole,6,Tue,Rainy,131,1.9,0
Chetak Circle,23,Thu,Rainy,66,1.0,0
Sector 4,13,Mon,Rainy,122,1.8,0
Sector 4,18,Sat,Foggy,345,5.0,0
Chetak Circle,3,Sun,Rainy,226,3.3,0
Fatehsagar,5,Wed,Rainy,206,3.0,0
Udiapole,9,Tue,Clear,659,9.6,1
Udiapole,6,Wed,Cloudy,181,2.6,0
Bapu Bazaar,12,Mon,Cloudy,131,1.9,0
Udiapole,13,Mon,Rainy,197,2.9,0
Sector 4,3,Fri,Cloudy,169,2.5,0
Delhi Gate,7,Sun,Clear,169,2.5,0
Fatehsagar,4,Mon,Clear,96,1.4,0
Udiapole,0,Wed,Rainy,156,2.3,0
Bapu Bazaar,3,Thu,Clear,157,2.3,0
Sector 4,2,Thu,Cloudy,58,0.8,0
Delhi Gate,8,Fri,Foggy,621,9.0,1
Surajpole,7,Sat,Cloudy,128,1.9,0
Surajpole,0,Wed,Foggy,204,3.0,0
Delhi Gate,5,Wed,Rainy,64,0.9,0
Sector 4,8,Mon,Foggy,607,8.8,1
Bapu Bazaar,6,Sun,Clear,278,4.0,0
Delhi Gate,3,Wed,Cloudy,296,4.3,0
Fatehsagar,12,Tue,Foggy,68,1.0,0
Fatehsagar,16,Sat,Cloudy,139,2.0,0
Surajpole,1,Mon,Rainy,229,3.3,0
Udiapole,4,Tue,Rainy,75,1.1,0
Bapu Bazaar,11,Fri,Clear,266,3.9,0
Surajpole,20,Thu,Rainy,203,3.0,0
Udiapole,7,Fri,Foggy,203,3.0,0
Udiapole,5,Thu,Rainy,223,3.2,0
Hathi Pol,7,Fri,Clear,141,2.1,0
Fatehsagar,17,Wed,Cloudy,588,8.6,1
Sector 4,2,Tue,Cloudy,131,1.9,0
Chetak Circle,21,Thu,Rainy,273,4.0,0
Sector 4,11,Mon,Foggy,230,3.3,0
Chetak Circle,2,Tue,Clear,180,2.6,0
Delhi Gate,21,Mon,Foggy,243,3.5,0
Fatehsagar,5,Tue,Clear,274,4.0,0
Udiapole,1,Tue,Rainy,91,1.3,0
Bapu Bazaar,22,Fri,Clear,68,1.0,0
Chetak Circle,11,Thu,Clear,66,1.0,0
Sector 4,1,Thu,Rainy,285,4.1,0
Udiapole,5,Sun,Foggy,210,3.1,0
Chetak Circle,16,Tue,Rainy,125,1.8,0
Chetak Circle,2,Wed,Clear,226,3.3,0
Hathi Pol,1,Wed,Rainy,233,3.4,0
Chetak Circle,22,Mon,Clear,112,1.6,0
Bapu Bazaar,19,Mon,Rainy,566,8.2,1
Fatehsagar,7,Fri,Cloudy,156,2.3,0
Bapu Bazaar,21,Tue,Cloudy,98,1.4,0
Surajpole,11,Mon,Rainy,104,1.5,0
Udiapole,3,Mon,Foggy,203,3.0,0
Fatehsagar,4,Sat,Clear,148,2.2,0
Hathi Pol,12,Tue,Cloudy,249,3.6,0
Fatehsagar,14,Fri,Foggy,101,1.5,0
Fatehsagar,22,Mon,Clear,149,2.2,0
Sector 4,15,Fri,Cloudy,166,2.4,0
Fatehsagar,9,Thu,Cloudy,406,5.9,0
Hathi Pol,22,Fri,Rainy,56,0.8,0
Bapu Bazaar,15,Wed,Clear,95,1.4,0
Fatehsagar,11,Wed,Foggy,95,1.4,0
Delhi Gate,16,Fri,Foggy,149,2.2,0
Udiapole,15,Wed,Foggy,193,2.8,0
Fatehsagar,11,Thu,Clear,201,2.9,0
Udiapole,7,Tue,Foggy,238,3.5,0
Delhi Gate,19,Wed,Foggy,482,7.0,0
Delhi Gate,2,Wed,Foggy,111,1.6,0
Udiapole,15,Fri,Rainy,178,2.6,0
Chetak Circle,12,Thu,Rainy,98,1.4,0
Surajpole,22,Sun,Clear,74,1.1,0
Sector 4,18,Sun,Clear,444,6.5,0
Chetak Circle,7,Sun,Foggy,167,2.4,0
Chetak Circle,21,Sun,Rainy,257,3.7,0
Bapu Bazaar,4,Tue,Cloudy,193,2.8,0
Sector 4,19,Fri,Cloudy,410,6.0,0
Sector 4,7,Fri,Foggy,249,3.6,0
Chetak Circle,23,Sat,Foggy,206,3.0,0
Fatehsagar,11,Thu,Rainy,280,4.1,0
Bapu Bazaar,0,Sun,Rainy,141,2.1,0
Bapu Bazaar,20,Tue,Rainy,183,2.7,0
Delhi Gate,19,Thu,Clear,414,6.0,0
Hathi Pol,5,Sun,Clear,197,2.9,0
Sector 4,21,Tue,Foggy,129,1.9,0
Chetak Circle,17,Thu,Clear,274,4.0,0
Delhi Gate,7,Fri,Rainy,282,4.1,0
Udiapole,6,Fri,Rainy,127,1.8,0
Surajpole,0,Mon,Clear,92,1.3,0
Hathi Pol,20,Wed,Cloudy,203,3.0,0
Hathi Pol,15,Sun,Foggy,139,2.0,0
Hathi Pol,11,Sat,Cloudy,127,1.8,0
Bapu Bazaar,5,Thu,Foggy,248,3.6,0
Udiapole,19,Sat,Cloudy,374,5.4,0
Hathi Pol,1,Mon,Clear,75,1.1,0
Udiapole,13,Wed,Foggy,170,2.5,0
Fatehsagar,3,Thu,Foggy,94,1.4,0
Hathi Pol,0,Tue,Foggy,261,3.8,0
Surajpole,22,Sun,Rainy,112,1.6,0
Udiapole,17,Wed,Rainy,516,7.5,1
Udiapole,12,Fri,Cloudy,229,3.3,0
Surajpole,1,Mon,Clear,117,1.7,0
Hathi Pol,8,Wed,Rainy,496,7.2,1
Surajpole,20,Sun,Foggy,252,3.7,0
Udiapole,1,Wed,Rainy,51,0.7,0
Surajpole,8,Sun,Clear,341,5.0,0
Udiapole,0,Fri,Rainy,157,2.3,0
Udiapole,10,Thu,Foggy,372,5.4,0
Fatehsagar,2,Tue,Cloudy,98,1.4,0
Chetak Circle,19,Fri,Foggy,503,7.3,1
Udiapole,22,Tue,Clear,267,3.9,0
Hathi Pol,3,Thu,Cloudy,93,1.4,0
Delhi Gate,17,Wed,Rainy,362,5.3,0
Bapu Bazaar,22,Tue,Rainy,62,0.9,0
Sector 4,5,Mon,Rainy,127,1.8,0
Chetak Circle,2,Mon,Cloudy,265,3.9,0
Chetak Circle,21,Sun,Foggy,175,2.5,0
Chetak Circle,10,Fri,Cloudy,476,6.9,0
Fatehsagar,14,Thu,Cloudy,285,4.1,0
Udiapole,21,Sun,Clear,75,1.1,0
Fatehsagar,4,Fri,Cloudy,198,2.9,0
Udiapole,19,Fri,Rainy,401,5.8,0
Hathi Pol,9,Sun,Foggy,341,5.0,0
Fatehsagar,11,Sat,Foggy,277,4.0,0
Fatehsagar,14,Fri,Foggy,217,3.2,0
Bapu Bazaar,16,Sat,Rainy,115,1.7,0
Delhi Gate,9,Mon,Rainy,445,6.5,0
Fatehsagar,5,Mon,Rainy,250,3.6,0
Bapu Bazaar,17,Fri,Rainy,405,5.9,0
Surajpole,12,Mon,Rainy,128,1.9,0
Delhi Gate,2,Thu,Cloudy,254,3.7,0
Hathi Pol,23,Sat,Rainy,72,1.0,0
Fatehsagar,9,Sat,Rainy,487,7.1,1
Sector 4,13,Fri,Rainy,97,1.4,0
Chetak Circle,5,Mon,Rainy,173,2.5,0
Surajpole,2,Tue,Foggy,179,2.6,0
Surajpole,15,Sun,Rainy,133,1.9,0
Hathi Pol,6,Sun,Cloudy,69,1.0,0
Bapu Bazaar,19,Sat,Cloudy,440,6.4,0
Surajpole,13,Fri,Cloudy,95,1.4,0
Delhi Gate,8,Fri,Clear,564,8.2,1
Fatehsagar,14,Thu,Foggy,232,3.4,0
Fatehsagar,20,Wed,Rainy,61,0.9,0
Sector 4,2,Wed,Clear,89,1.3,0
Hathi Pol,1,Sat,Rainy,115,1.7,0
Chetak Circle,1,Sun,Clear,149,2.2,0
Bapu Bazaar,2,Thu,Clear,127,1.8,0
Chetak Circle,17,Thu,Cloudy,363,5.3,0
Surajpole,13,Thu,Cloudy,132,1.9,0
Hathi Pol,19,Sat,Clear,426,6.2,0
Sector 4,17,Wed,Cloudy,424,6.2,0
Chetak Circle,9,Sun,Clear,591,8.6,1
Delhi Gate,1,Thu,Foggy,183,2.7,0
Fatehsagar,21,Sun,Cloudy,254,3.7,0
Surajpole,0,Mon,Cloudy,241,3.5,0
Sector 4,3,Fri,Cloudy,149,2.2,0
Chetak Circle,13,Fri,Foggy,71,1.0,0
Bapu Bazaar,0,Sun,Clear,67,1.0,0
Delhi Gate,13,Tue,Rainy,61,0.9,0
Delhi Gate,15,Tue,Cloudy,229,3.3,0
Chetak Circle,21,Sat,Clear,172,2.5,0
Fatehsagar,13,Sat,Foggy,295,4.3,0
Chetak Circle,19,Fri,Rainy,586,8.5,1
Surajpole,2,Mon,Cloudy,166,2.4,0
Chetak Circle,2,Wed,Foggy,100,1.5,0
